test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
SEO-001,SEO,SEO-001,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-002,SEO,SEO-002,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-003,SEO,SEO-003,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-004,SEO,SEO-004,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-005,SEO,SEO-005,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-006,SEO,SEO-006,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-007,SEO,SEO-007,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-008,SEO,SEO-008,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-009,SEO,SEO-009,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-010,SEO,SEO-010,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-011,SEO,SEO-011,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-012,SEO,SEO-012,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SEO-013,SEO,SEO-013,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SEO-014,SEO,SEO-014,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-015,SEO,SEO-015,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-016,SEO,SEO-016,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-017,SEO,SEO-017,AUTO+LIVE,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Unit + live redirects; demo robots Disallow:/ expected for staging,,,,Unit + live redirects; demo robots Disallow:/ expected for staging
SEO-018,SEO,SEO-018,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SEO-019,SEO,SEO-019,LIVE+AUTO,demo+local-tests+lightsail,per master certification brief,FAIL,FAIL,Composer,Demo deployment canonical host is sarveda-frontend.vercel.app (NEXT_PUBLIC_SITE_URL not set to apex on current Vercel). Production simulation unit tests PASS when SITE_URL=https://sarveda.com.,DEF-001,pending,,Demo deployment canonical host is sarveda-frontend.vercel.app (NEXT_PUBLIC_SITE_URL not set to apex on current Vercel). Production simulation unit tests PASS when SITE_URL=https://sarveda.com.
SEO-020,SEO,SEO-020,LIVE+AUTO,demo+local-tests+lightsail,per master certification brief,FAIL,FAIL,Composer,Same as SEO-019 on live demo HTML canonical.,DEF-001,pending,,Same as SEO-019 on live demo HTML canonical.
SEO-021,SEO,SEO-021,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
SEO-022,SEO,SEO-022,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
CUT-001,CUT,CUT-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-002,CUT,CUT-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-003,CUT,CUT-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-004,CUT,CUT-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-005,CUT,CUT-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-006,CUT,CUT-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-007,CUT,CUT-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-008,CUT,CUT-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-009,CUT,CUT-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-010,CUT,CUT-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-011,CUT,CUT-011,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Simulation only — DNS not changed,,,,Simulation only — DNS not changed
CUT-012,CUT,CUT-012,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
CUT-013,CUT,CUT-013,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
CUT-014,CUT,CUT-014,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
CUT-015,CUT,CUT-015,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
