live_slug,ls_slug,score,live_name,ls_name
32-bar-rod-chime,32-rods-bar-chime,0.944,25 Rods &#8211; Bar Chime,32 Rods - Bar Chime
6-3-inches-mini-tongue-drum,mini-tongue-drum,1.0,Mini Tongue Drum,Mini Tongue Drum
8-keys-metallophone,8-keys-metallophone-with-1-1-5-key-widths,1.0,8 Keys Metallophone &#8211; with 1” &#038; 1.5” key-widths,8 Keys Metallophone - with 1” & 1.5” key-widths
9-10-notes-handpan,9-10-notes-handpan-drum-handcrafted-to-precision,1.0,9/10 Notes Handpan Drum &#8211; Handcrafted to Precision,9/10 Notes Handpan Drum - Handcrafted to Precision
artistic-egg-shakers,painted-egg-shakers,1.0,Painted Egg Shakers,Painted Egg Shakers
aslatau-or-asalato,asalato-aslatau-or-kashaka-shaker,1.0,Asalato/Aslatau or Kashaka Shaker,Asalato/Aslatau or Kashaka Shaker
bamboo-rainstick-2,bamboo-rainstick,1.0,Bamboo Rainstick,Bamboo Rainstick
ceg-crystal-singing-bowl-set,triad-crystal-bowl-set,1.0,Triad Crystal Bowl Set,Triad Crystal Bowl Set
cg-tuning-forks,c-g-tuning-forks,1.0,C&#038;G Tuning Forks,C&G Tuning Forks
chau-gong-tam-tam-for-sound-therapy-meditation,tam-tam-chau-gong,1.0,Tam-Tam/Chau Gong,Tam-Tam/Chau Gong
copper-bottle-black-with-7-chakras-vintage,7-chakras-vintage-copper-bottle,1.0,7 Chakras Vintage &#8211; Copper Bottle,7 Chakras Vintage - Copper Bottle
copper-bottle-orange-light,sunshine-within-me,1.0,Sunshine within Me,Sunshine within Me
copper-bottle-with-7-chakras-plain,7-chakras-gold-copper-bottle,1.0,7 Chakras Gold &#8211; Copper Bottle,7 Chakras Gold - Copper Bottle
copper-water-bottle-with-2-glasses-set-with-7-chakra-design,copper-bottle-gift-set-7-chakra,1.0,Copper Bottle Gift Set &#8211; 7 Chakra,Copper Bottle Gift Set - 7 Chakra
