test_id,module,scenario,test_type,environment,expected,actual,status,severity,evidence,defect_id,fix_commit,retested,notes
RP-001,RP,RP-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-002,RP,RP-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-003,RP,RP-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-004,RP,RP-004,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-005,RP,RP-005,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-006,RP,RP-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-007,RP,RP-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-008,RP,RP-008,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-009,RP,RP-009,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-010,RP,RP-010,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-011,RP,RP-011,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-012,RP,RP-012,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-013,RP,RP-013,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-014,RP,RP-014,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-015,RP,RP-015,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-016,RP,RP-016,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-017,RP,RP-017,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-018,RP,RP-018,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
RP-019,RP,RP-019,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
RP-020,RP,RP-020,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Razorpay mocks — not live gateway money,,,,Automated with Razorpay mocks — not live gateway money
STR-001,STR,STR-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Stripe mocks/sandbox hooks where present,,,,Automated with Stripe mocks/sandbox hooks where present
STR-002,STR,STR-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Stripe mocks/sandbox hooks where present,,,,Automated with Stripe mocks/sandbox hooks where present
STR-003,STR,STR-003,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-004,STR,STR-004,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-005,STR,STR-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Stripe mocks/sandbox hooks where present,,,,Automated with Stripe mocks/sandbox hooks where present
STR-006,STR,STR-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Stripe mocks/sandbox hooks where present,,,,Automated with Stripe mocks/sandbox hooks where present
STR-007,STR,STR-007,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-008,STR,STR-008,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-009,STR,STR-009,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with Stripe mocks/sandbox hooks where present,,,,Automated with Stripe mocks/sandbox hooks where present
STR-010,STR,STR-010,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-011,STR,STR-011,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-012,STR,STR-012,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-013,STR,STR-013,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
STR-014,STR,STR-014,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-001,PP,PP-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with PayPal mocks where present,,,,Automated with PayPal mocks where present
PP-002,PP,PP-002,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-003,PP,PP-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with PayPal mocks where present,,,,Automated with PayPal mocks where present
PP-004,PP,PP-004,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-005,PP,PP-005,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-006,PP,PP-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with PayPal mocks where present,,,,Automated with PayPal mocks where present
PP-007,PP,PP-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Automated with PayPal mocks where present,,,,Automated with PayPal mocks where present
PP-008,PP,PP-008,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-009,PP,PP-009,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-010,PP,PP-010,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-011,PP,PP-011,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
PP-012,PP,PP-012,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
COD-001,COD,COD-001,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
COD-002,COD,COD-002,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
COD-003,COD,COD-003,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
COD-004,COD,COD-004,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
COD-005,COD,COD-005,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
COD-006,COD,COD-006,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
COD-007,COD,COD-007,AUTO,demo+local-tests+lightsail,per master certification brief,PASS,PASS,Composer,Covered by automated suite / live check this certification,,,,Covered by automated suite / live check this certification
COD-008,COD,COD-008,GAP,demo+local-tests+lightsail,per master certification brief,NOT_RUN,NOT_RUN,Composer,Not covered by executed automated suites this run,,,,Not covered by executed automated suites this run
