id,slug,name,carousel_slots
42373,11-note-tongue-drum,11 Note Tongue Drum,8
48727,7-chakra-morchang-set,7 Chakra Morchang Set,16
6080,engraved-copper-water-bottles,7 Chakras Copper Water Bottles,12
44503,7-chakras-copper-water-bottles-with-handle,7 Chakras Copper Water Bottles with Handle,9
7687,7-chakras-mystical-incense-sticks-set,7 Chakras Mystical Incense Sticks Set,19
46141,7-chakras-yoga-mats,7 Chakras Yoga Mats,16
42332,8-keys-metallophone,8 Keys Metallophone - with 1” & 1.5” key-widths,7
42340,8-keys-wooden-xylophone,8 Keys Wooden Xylophone,6
8058,9-10-notes-handpan,9/10 Notes Handpan Drum - Handcrafted to Precision,11
48205,angel-tuning-forks,Angel Tuning Forks,3
49596,ankh-sound-healing-instrument,Ankh Sound Healing Instrument,8
6007,printed-copper-water-bottles,Artistically Designed Copper Bottles,25
7300,aslatau-or-asalato,Asalato/Aslatau or Kashaka Shaker,16
7329,bamboo-castanet,Bamboo Castanet,6
47742,bendo-shaker,Bendo Shaker,8
45754,bird-flute,Bird Flute,15
45384,box-tanpura,Box Tanpura,5
48318,cg-tuning-forks,C&G Tuning Forks,3
48653,classic-morchang-set,Classic Morchang Set,6
50995,clay-ocarinas,Clay Ocarinas,12
7370,wooden-maracas-shaker,Coconut Maracas Shakers,12
5730,coconut-rattle,Coconut Rattle,9
6638,copper-water-bottle-with-2-glasses-set-with-7-chakra-design,Copper Bottle Gift Set - 7 Chakra,12
47508,crescent-zafu-cushion-wide,Crescent Zafu Cushion - Compact,18
47494,crescent-zafu-cushion-compact,Crescent Zafu Cushion - Wide,3
47081,crystal-bowl-bag,Crystal Bowl Bag,5
9777,sarveda-crystal-bowls,Crystal Bowls,5
43219,crystal-bowls-set-of-7,Crystal Bowls - Set of 7,20
45654,crystal-pyramid,Crystal Pyramid,9
5489,copper-bottle-vintage-plain-curved,Curved Copper Bottles,11
5934,copper-bottle-curved-copper-diamond-groove,Curved Diamond Groove Copper Bottle,10
5495,copper-bottle-curved-vintage-hammered,Curved Hammered Copper Bottles,6
44969,djembe-drums,Djembe Drums,20
49817,large-tuning-fork,DNA Tuning Fork,5
6892,hand-hammered-singing-bowl,Dotted Singing Bowl,22
5740,dumroo-medium-size,Dumru/Dumroo Indian Handmade Percussion Instrument,11
49115,etched-gongs,Etched Chau Gongs,7
9795,etched-handmade-singing-bowls,Etched Handmade Singing Bowls,26
8846,engraved-flat-wind-tibetan-gong-for-meditation-sound-therapy,Etched Wind Gong,11
43286,handmade-extra-large-meridian-singing-bowls,Extra Large Meridian Singing Bowls,5
9220,eye-shaped-natural-lavender-scented-eye-pillows,Eye Shaped Natural Lavender Scented Eye Pillows,18
10035,sarveda-flower-of-life-with-sacred-symbols-singing-bowls,Flower of Life with Sacred Symbols Singing Bowls,20
7607,full-moon-singing-bowls,Full Moon Singing Bowls - All Sizes,13
45152,gong-bags,Gong Bags,7
45289,gong-stand,Gong Stand,13
6071,non-printed-copper-water-bottles,"Grooved, Hammered & Plain Copper Bottle",26
5688,copper-bottle-hammered-copper-set,Hammered Copper Bottle,5
7887,singing-bowl-with-7-chakra-healing-from-sound-therapy,Handcrafted Set of 7 Bowls for Sound Therapy,9
6884,handmade-singing-bowls-for-sound-therapy,Handmade Singing Bowls - All Sizes,6
45113,hanging-bowls-zen-drops,Hanging Bowls/Zen Drops,11
44972,harmonium,Harmonium,12
9291,hi-zafu-meditation-cushion-filled-with-lotus-embroidery,Hi-Zafu Meditation Cushion - Embroidered with Lotus,11
6755,sarveda-zafu-cylindrical-meditation-cushion,Hi-Zafu Meditation Cushion - Filled with Buckwheat,17
9978,sarveda-joint-bowl-or-bowl-with-a-hole,Joint Bowl or Knee Cut Bowl,8
45197,kenari-chimes,Kenari Chimes - Small & Large,10
7472,handheld-kenari-seed-shell-shaker,Kenari Seed Shell Shakers,15
46171,lotus-yoga-mat,Lotus Yoga Mat,13
7568,macrame-yoga-straps,Macrame Yoga Mat Straps,14
48856,mayura-morchang-set,Mayura Morchang Set,10
6062,mini-coconut-shaker-3-types,Mini Coconut Shakers - 3 Types,14
48428,native-american-style-flute-handcrafted-wooden-melody-maker,Native American Style Flutes,29
7435,natural-bamboo-xylophone-with-5-keys,Natural Bamboo Xylophone with 5 Keys,7
6519,sarveda-lavender-scented-eye-pillows-for-yoga-meditation-and-relaxation-made-with-cotton-filled-with-flaxseed,Natural Lavender Scented Eye Pillows,10
9529,ocean-drums,Ocean Drums,9
7404,artistic-egg-shakers,Painted Egg Shakers,11
46220,plain-yoga-mats,Plain Yoga Mats,9
8833,plain-flat-wind-tibetan-gong-for-meditation-sound-therapy,Plain/Wind Tibetan Gong,9
48512,pulse-tubes,Pulse Tubes,9
9675,rectangular-yoga-bolster-made-from-organic-cotton,Rectangular Yoga Bolster,10
6689,yoga-bolster,Round Yoga Bolster,14
7307,s-shaped-didgeridoo,S-Shaped Didgeridoo,12
10008,sarveda-sacred-symbols-singing-bowls,Sacred Symbols Singing Bowls,12
7293,shamanic-drums,Shamanic Drum,18
45131,shamanic-drum-bags-ocean-drum-bags,Shamanic Drum Bags/Ocean Drum Bags,11
45449,shankh-conch,Shankh/Conch,15
45485,shruthi-thali-gong-plates,Shruthi Thali/Gong Plates,11
44970,shruti-box,Shruti Box,26
45127,singing-bowl-bags,Singing Bowl Bags,13
6861,singing-bowl-with-mantra-rustic-blue-color,Singing Bowl with Mantra - Rustic Blue Colour,8
6988,singing-bowl-silk-ring-cushions-accessories,Singing Bowls Silk Ring Cushion Accessories,24
6807,singing-bowls-with-sacred-mantra-printed,Singing Bowls with Sacred Mantra Printed,21
7417,den-den-daiko-or-spin-twist-drum,Spin/Twist Drum or Den Den Daiko,14
7324,spiral-snake-didgeridoo,Spiral/Snake Didgeridoo,10
6505,stainless-steel-straws,Stainless Steel Straws,8
10345,swinging-chimes,Swinging Chimes,8
8802,chau-gong-tam-tam-for-sound-therapy-meditation,Tam-Tam/Chau Gong,13
7443,mini-teak-wood-and-stainless-steel-xylophone,Teak Wood - Stainless Steel Xylophone,9
7317,thunder-tube,Thunder Tube - Basic Edition,12
6973,sarveda-buddhist-bell,Tibetan Buddhist Bell,18
5763,tingsha-bell,Tingsha Bell,23
45668,ceg-crystal-singing-bowl-set,Triad Crystal Bowl Set,8
50549,tuned-pipe,Tuned Pipes,8
9713,sarveda-tuning-forks,Tuning Fork - Single Weighted & Unweighted,23
48133,tuning-forks-activators,Tuning Fork Activators,6
48135,tuning-forks-extensions,Tuning Fork Extensions,16
48193,tuning-forks-7-chakra-set,Tuning Forks 7 Chakra Set,9
48136,tuning-forks-gem-foot,Tuning Forks Gem Feet,11
48202,tuning-forks-solfeggio-set,Tuning Forks Solfeggio Set,9
